Rank	Word	Count	Frequency
276	affair	72	0.000372
277	dear	72	0.000372
278	saw	72	0.000372
279	better	71	0.000367
280	sir	71	0.000367
281	condition	71	0.000367
282	resolved	70	0.000361
283	work	70	0.000361
284	five	70	0.000361
285	because	70	0.000361
286	master	70	0.000361
287	morgan	70	0.000361
288	favour	69	0.000356
289	thus	69	0.000356
290	mind	69	0.000356
291	entered	69	0.000356
292	ill	69	0.000356
293	words	69	0.000356
294	already	68	0.000351
295	short	68	0.000351
296	matter	68	0.000351
297	sent	68	0.000351
298	again	68	0.000351
299	indeed	67	0.000346
300	lord	67	0.000346
301	knew	67	0.000346
302	joy	67	0.000346
303	carried	67	0.000346
304	interest	67	0.000346
305	lay	67	0.000346
306	regard	67	0.000346
307	say	67	0.000346
308	since	67	0.000346
309	pleased	67	0.000346
310	home	66	0.000341
311	until	66	0.000341
312	understood	66	0.000341
313	through	66	0.000341
314	god	66	0.000341
315	arrived	65	0.000336
316	help	65	0.000336
317	sat	64	0.000330
318	bed	64	0.000330
319	together	64	0.000330
320	back	64	0.000330
321	meantime	64	0.000330
322	return	63	0.000325
323	happened	63	0.000325
324	consequence	63	0.000325
325	want	62	0.000320
326	taking	62	0.000320
327	hope	62	0.000320
328	also	62	0.000320
329	expense	62	0.000320
330	certain	62	0.000320
331	affected	62	0.000320
332	gone	62	0.000320
333	death	62	0.000320
334	play	62	0.000320
335	almost	61	0.000315
336	friends	61	0.000315
337	done	61	0.000315
338	proposed	61	0.000315
339	deal	61	0.000315
340	begged	61	0.000315
341	looked	61	0.000315
342	success	60	0.000310
343	care	60	0.000310
344	end	60	0.000310
345	word	60	0.000310
346	neither	59	0.000305
347	blood	59	0.000305
348	bade	59	0.000305
349	although	58	0.000300
350	particulars	58	0.000300
351	service	58	0.000300
352	doubt	57	0.000294
353	purpose	57	0.000294
354	get	57	0.000294
355	tears	57	0.000294
356	making	56	0.000289
357	alarmed	56	0.000289
358	longer	56	0.000289
359	wife	56	0.000289
360	woman	56	0.000289
361	telling	56	0.000289
362	obliged	56	0.000289
363	hour	56	0.000289
364	full	56	0.000289
365	mate	56	0.000289
366	gutenberg™	56	0.000289
367	years	55	0.000284
368	read	55	0.000284
369	something	55	0.000284
370	became	55	0.000284
371	enough	55	0.000284
372	honest	55	0.000284
373	seen	54	0.000279
374	best	54	0.000279
375	lost	54	0.000279
376	servant	54	0.000279
377	squire	54	0.000279
378	dinner	54	0.000279
