Rank	Word	Count	Frequency
280	past	101	0.000377
281	green	98	0.000366
282	theres	98	0.000366
283	nothing	98	0.000366
284	wouldnt	98	0.000366
285	—the	97	0.000362
286	passed	97	0.000362
287	sure	97	0.000362
288	citizen	97	0.000362
289	each	96	0.000358
290	wonder	96	0.000358
291	project	94	0.000351
292	gold	92	0.000343
293	four	92	0.000343
294	watch	92	0.000343
295	arms	91	0.000340
296	five	91	0.000340
297	days	91	0.000340
298	corner	89	0.000332
299	stood	89	0.000332
300	anything	89	0.000332
301	also	89	0.000332
302	lost	89	0.000332
303	paper	89	0.000332
304	called	88	0.000328
305	lips	88	0.000328
306	gentleman	88	0.000328
307	girl	88	0.000328
308	power	88	0.000328
309	bad	88	0.000328
310	gone	87	0.000325
311	moment	86	0.000321
312	book	85	0.000317
313	times	84	0.000313
314	land	83	0.000310
315	should	83	0.000310
316	c	83	0.000310
317	dear	83	0.000310
318	yet	82	0.000306
319	death	82	0.000306
320	brought	82	0.000306
321	feet	82	0.000306
322	case	82	0.000306
323	mind	82	0.000306
324	blue	82	0.000306
325	cried	81	0.000302
326	cant	81	0.000302
327	p	81	0.000302
328	ireland	81	0.000302
329	done	81	0.000302
330	many	81	0.000302
331	perhaps	81	0.000302
332	quite	80	0.000299
333	boy	80	0.000299
334	keep	80	0.000299
335	henry	79	0.000295
336	used	79	0.000295
337	people	78	0.000291
338	nice	78	0.000291
339	professor	78	0.000291
340	few	77	0.000287
341	end	77	0.000287
342	walked	77	0.000287
343	couldnt	77	0.000287
344	master	77	0.000287
345	letter	77	0.000287
346	music	76	0.000284
347	—yes	76	0.000284
348	stephens	76	0.000284
349	pocket	76	0.000284
350	table	76	0.000284
351	sun	76	0.000284
352	ten	76	0.000284
353	de	76	0.000284
354	seen	76	0.000284
355	born	76	0.000284
356	forward	75	0.000280
357	youre	75	0.000280
358	lovely	75	0.000280
359	remember	75	0.000280
360	foot	74	0.000276
361	private	74	0.000276
362	ben	74	0.000276
363	sweet	73	0.000272
364	ah	73	0.000272
365	mean	73	0.000272
366	cunningham	73	0.000272
367	body	72	0.000269
368	show	72	0.000269
369	knows	72	0.000269
370	today	72	0.000269
371	point	72	0.000269
372	believe	72	0.000269
373	leopold	72	0.000269
374	slowly	71	0.000265
375	year	71	0.000265
376	myself	71	0.000265
377	find	71	0.000265
378	enough	70	0.000261
379	others	70	0.000261
380	walk	70	0.000261
381	lady	70	0.000261
382	dignam	70	0.000261
383	conmee	70	0.000261
384	form	69	0.000258
385	set	69	0.000258
386	grey	68	0.000254
387	—and	68	0.000254
388	shall	68	0.000254
389	window	68	0.000254
390	hell	68	0.000254
391	next	68	0.000254
392	lay	67	0.000250
393	tea	67	0.000250
394	rose	67	0.000250
395	turn	67	0.000250
396	earth	67	0.000250
397	hed	67	0.000250
398	ned	67	0.000250
399	soul	66	0.000246
400	answered	66	0.000246
401	part	66	0.000246
402	king	66	0.000246
403	blooms	66	0.000246
404	nose	65	0.000243
405	wanted	65	0.000243
406	bob	65	0.000243
407	1	64	0.000239
408	across	64	0.000239
409	evening	64	0.000239
410	matter	64	0.000239
411	hope	64	0.000239
412	hard	64	0.000239
413	cissy	64	0.000239
414	lynch	64	0.000239
415	fingers	63	0.000235
416	cold	63	0.000235
417	friend	63	0.000235
418	molly	63	0.000235
419	haines	62	0.000231
420	comes	62	0.000231
421	wind	62	0.000231
422	fine	62	0.000231
423	ought	62	0.000231
424	free	62	0.000231
425	saint	62	0.000231
426	number	62	0.000231
427	boylan	62	0.000231
428	held	61	0.000228
429	wont	61	0.000228
430	felt	61	0.000228
431	—what	61	0.000228
432	drink	61	0.000228
433	talking	61	0.000228
434	waiting	61	0.000228
435	getting	61	0.000228
436	alf	61	0.000228
437	fair	60	0.000224
438	—o	60	0.000224
439	nature	60	0.000224
440	whole	60	0.000224
441	shes	60	0.000224
442	laughing	59	0.000220
443	breath	59	0.000220
444	brown	59	0.000220
445	forth	59	0.000220
446	met	59	0.000220
447	true	59	0.000220
448	fact	59	0.000220
449	country	58	0.000216
450	together	58	0.000216
451	large	58	0.000216
452	taking	58	0.000216
453	rather	58	0.000216
454	write	58	0.000216
455	holy	58	0.000216
456	found	58	0.000216
457	nor	58	0.000216
458	around	58	0.000216
459	human	58	0.000216
