Rank	Word	Count	Frequency
276	gone	17	0.000429
277	forth	17	0.000429
278	united	16	0.000404
279	received	16	0.000404
280	having	16	0.000404
281	part	16	0.000404
282	believe	16	0.000404
283	brought	16	0.000404
284	marriage	16	0.000404
285	seeing	16	0.000404
286	true	16	0.000404
287	knights	16	0.000404
288	almost	15	0.000378
289	away	15	0.000378
290	sir	15	0.000378
291	state	15	0.000378
292	conrad	15	0.000378
293	attendants	15	0.000378
294	noise	15	0.000378
295	tenderness	15	0.000378
296	place	15	0.000378
297	within	15	0.000378
298	leave	15	0.000378
299	hippolitas	15	0.000378
300	virtuous	15	0.000378
301	woman	15	0.000378
302	divorce	15	0.000378
303	night	15	0.000378
304	open	15	0.000378
305	means	15	0.000378
306	jaquez	15	0.000378
307	pray	15	0.000378
308	mean	15	0.000378
309	donations	15	0.000378
310	world	14	0.000353
311	laws	14	0.000353
312	power	14	0.000353
313	end	14	0.000353
314	put	14	0.000353
315	friend	14	0.000353
316	however	14	0.000353
317	terror	14	0.000353
318	perhaps	14	0.000353
319	whether	14	0.000353
320	truth	14	0.000353
321	given	14	0.000353
322	indeed	14	0.000353
323	same	14	0.000353
324	duty	14	0.000353
325	discovered	14	0.000353
326	again	14	0.000353
327	acquainted	14	0.000353
328	interrupted	14	0.000353
329	peace	14	0.000353
330	poor	14	0.000353
331	ebook	13	0.000328
332	died	13	0.000328
333	years	13	0.000328
334	passed	13	0.000328
335	house	13	0.000328
336	armour	13	0.000328
337	nicholas	13	0.000328
338	better	13	0.000328
339	meet	13	0.000328
340	far	13	0.000328
341	taken	13	0.000328
342	right	13	0.000328
343	gracious	13	0.000328
344	affection	13	0.000328
345	wife	13	0.000328
346	question	13	0.000328
347	back	13	0.000328
348	grief	13	0.000328
349	fatal	13	0.000328
350	dead	13	0.000328
351	thoughts	13	0.000328
352	wretched	13	0.000328
353	news	13	0.000328
354	prevent	13	0.000328
355	demanded	13	0.000328
356	steps	13	0.000328
357	didst	13	0.000328
358	highnesss	13	0.000328
359	consent	13	0.000328
360	endeavoured	13	0.000328
361	each	13	0.000328
362	sirs	13	0.000328
363	trademark	13	0.000328
364	literary	13	0.000328
365	archive	13	0.000328
366	copy	12	0.000303
367	author	12	0.000303
368	company	12	0.000303
369	three	12	0.000303
370	remained	12	0.000303
371	felt	12	0.000303
372	morning	12	0.000303
373	head	12	0.000303
374	latter	12	0.000303
375	situation	12	0.000303
376	pity	12	0.000303
377	wish	12	0.000303
378	delivered	12	0.000303
379	answer	12	0.000303
380	above	12	0.000303
381	took	12	0.000303
382	wished	12	0.000303
383	help	12	0.000303
384	ordered	12	0.000303
385	retired	12	0.000303
386	informed	12	0.000303
387	support	12	0.000303
388	another	12	0.000303
389	ere	12	0.000303
390	foot	12	0.000303
391	determined	12	0.000303
392	met	12	0.000303
393	vault	12	0.000303
394	trapdoor	12	0.000303
395	forgive	12	0.000303
396	access	12	0.000303
397	walpole	11	0.000277
398	entered	11	0.000277
399	thousand	11	0.000277
400	want	11	0.000277
401	conduct	11	0.000277
402	days	11	0.000277
403	present	11	0.000277
404	itself	11	0.000277
405	struck	11	0.000277
406	sight	11	0.000277
407	done	11	0.000277
408	respect	11	0.000277
409	gentle	11	0.000277
410	asked	11	0.000277
411	questions	11	0.000277
412	horror	11	0.000277
413	information	11	0.000277
414	hall	11	0.000277
415	nobody	11	0.000277
416	rage	11	0.000277
417	orders	11	0.000277
418	minutes	11	0.000277
419	moment	11	0.000277
420	instant	11	0.000277
421	alone	11	0.000277
422	form	11	0.000277
423	search	11	0.000277
424	wrath	11	0.000277
425	please	11	0.000277
426	word	11	0.000277
427	aught	11	0.000277
428	learn	11	0.000277
429	answered	11	0.000277
430	attend	11	0.000277
431	conscience	11	0.000277
432	honour	11	0.000277
433	herald	11	0.000277
434	paragraph	11	0.000277
435	horace	10	0.000252
436	become	10	0.000252
437	always	10	0.000252
438	old	10	0.000252
439	noble	10	0.000252
440	mine	10	0.000252
441	following	10	0.000252
442	principal	10	0.000252
443	longer	10	0.000252
444	knows	10	0.000252
445	hands	10	0.000252
446	silence	10	0.000252
447	curiosity	10	0.000252
448	offended	10	0.000252
449	alfonsos	10	0.000252
450	tis	10	0.000252
451	till	10	0.000252
452	sentence	10	0.000252
453	remain	10	0.000252
454	sent	10	0.000252
455	stopped	10	0.000252
456	lost	10	0.000252
457	trust	10	0.000252
458	pleasure	10	0.000252
459	obey	10	0.000252
460	name	10	0.000252
461	heavens	10	0.000252
462	follow	10	0.000252
463	shut	10	0.000252
464	behind	10	0.000252
465	order	10	0.000252
466	saint	10	0.000252
467	charge	10	0.000252
468	reply	10	0.000252
469	people	10	0.000252
470	sword	10	0.000252
471	behold	10	0.000252
472	refund	10	0.000252
473	title	9	0.000227
474	date	9	0.000227
475	went	9	0.000227
476	during	9	0.000227
477	evening	9	0.000227
478	began	9	0.000227
479	least	9	0.000227
480	arms	9	0.000227
481	whatever	9	0.000227
482	matter	9	0.000227
483	passions	9	0.000227
484	falling	9	0.000227
485	occasioned	9	0.000227
486	melancholy	9	0.000227
487	fell	9	0.000227
488	already	9	0.000227
489	impatient	9	0.000227
490	whence	9	0.000227
491	appeared	9	0.000227
492	loss	9	0.000227
493	known	9	0.000227
494	parent	9	0.000227
495	sorrow	9	0.000227
496	thither	9	0.000227
497	farther	9	0.000227
498	carried	9	0.000227
499	comfort	9	0.000227
500	brother	9	0.000227
501	dearest	9	0.000227
502	stop	9	0.000227
503	conducted	9	0.000227
504	husband	9	0.000227
505	fair	9	0.000227
506	once	9	0.000227
507	seek	9	0.000227
508	followed	9	0.000227
509	agony	9	0.000227
